Timestamp,mavpackettype,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,Timestamp_converted,FullTime
1738835068.000025,GPS,14398518,0,3,380686000,2352,26,0.5,42.1346665,12.6307312,25.3,0.025000000372529,0.0,0.0750000029802322,0.0,1,2025-02-06 09:44:28.000025034,2025-02-06 09:44:42.398543034
1738835068.199981,GPS,14598474,0,3,380686200,2352,26,0.5,42.1346666,12.630731,25.31,0.0610000044107437,0.0,-0.0340000018477439,0.0,1,2025-02-06 09:44:28.199980974,2025-02-06 09:44:42.798454974
1738835068.400081,GPS,14798574,0,3,380686400,2352,26,0.5,42.1346666,12.6307308,25.32,0.0310000013560056,0.0,-0.0110000008717179,0.0,1,2025-02-06 09:44:28.400080919,2025-02-06 09:44:43.198654919
1738835068.600118,GPS,14998611,0,3,380686600,2352,26,0.5,42.1346666,12.6307306,25.35,0.1469999998807907,0.0,-0.0100000007078051,0.0,1,2025-02-06 09:44:28.600117922,2025-02-06 09:44:43.598728922
1738835068.799977,GPS,15198470,0,3,380686800,2352,26,0.5,42.1346666,12.6307305,25.35,0.0659999996423721,0.0,0.0360000021755695,0.0,1,2025-02-06 09:44:28.799977064,2025-02-06 09:44:43.998447064
1738835068.999985,GPS,15398478,0,3,380687000,2352,26,0.5,42.1346665,12.6307303,25.36,0.0950000062584877,0.0,0.0480000004172325,0.0,1,2025-02-06 09:44:28.999984980,2025-02-06 09:44:44.398462980
1738835069.200093,GPS,15598586,0,3,380687200,2352,26,0.5,42.1346664,12.6307299,25.38,0.106000006198883,0.0,0.0570000037550926,0.0,1,2025-02-06 09:44:29.200093031,2025-02-06 09:44:44.798679031
1738835069.399961,GPS,15798454,0,3,380687400,2352,26,0.5,42.1346663,12.6307295,25.37,0.0530000030994415,0.0,0.0050000003539025,0.0,1,2025-02-06 09:44:29.399960995,2025-02-06 09:44:45.198414995
1738835069.599894,GPS,15998387,0,3,380687600,2352,26,0.5,42.1346662,12.6307295,25.35,0.0590000040829181,0.0,0.0150000005960464,0.0,1,2025-02-06 09:44:29.599894047,2025-02-06 09:44:45.598281047
1738835069.800003,GPS,16198496,0,3,380687800,2352,26,0.5,42.1346662,12.6307294,25.35,0.0690000057220459,0.0,0.0360000021755695,0.0,1,2025-02-06 09:44:29.800003052,2025-02-06 09:44:45.998499052
1738835070.000077,GPS,16398570,0,3,380688000,2352,27,0.49,42.1346662,12.6307293,25.35,0.0170000009238719,0.0,-0.0110000008717179,0.0,1,2025-02-06 09:44:30.000077009,2025-02-06 09:44:46.398647009
1738835070.200136,GPS,16598629,0,3,380688200,2352,27,0.49,42.1346662,12.630729,25.38,0.0120000001043081,0.0,0.0890000015497207,0.0,1,2025-02-06 09:44:30.200135946,2025-02-06 09:44:46.798764946
1738835070.400068,GPS,16798561,0,3,380688400,2352,27,0.49,42.1346662,12.6307289,25.35,0.0910000056028366,0.0,0.0100000007078051,0.0,1,2025-02-06 09:44:30.400068045,2025-02-06 09:44:47.198629045
1738835070.5998409,GPS,16998334,0,3,380688600,2352,27,0.49,42.1346663,12.6307288,25.34,0.0560000017285347,0.0,0.1120000034570694,0.0,1,2025-02-06 09:44:30.599840879,2025-02-06 09:44:47.598174879
1738835070.780607,GPS,17179100,0,3,380688800,2352,27,0.49,42.1346664,12.6307287,25.32,0.0110000008717179,0.0,0.1220000088214874,0.0,1,2025-02-06 09:44:30.780606985,2025-02-06 09:44:47.959706985
1738835071.00003,GPS,17398523,0,3,380689000,2352,27,0.49,42.1346664,12.6307285,25.31,0.0580000020563602,0.0,0.0100000007078051,0.0,1,2025-02-06 09:44:31.000030041,2025-02-06 09:44:48.398553041
1738835071.199985,GPS,17598478,0,3,380689200,2352,27,0.49,42.1346663,12.6307284,25.32,0.0440000034868717,0.0,0.0340000018477439,0.0,1,2025-02-06 09:44:31.199985027,2025-02-06 09:44:48.798463027
1738835071.400007,GPS,17798500,0,3,380689400,2352,27,0.49,42.1346664,12.6307284,25.32,0.1340000033378601,0.0,0.0110000008717179,0.0,1,2025-02-06 09:44:31.400007010,2025-02-06 09:44:49.198507010
1738835071.599926,GPS,17998419,0,3,380689600,2352,27,0.49,42.1346665,12.6307283,25.32,0.003000000026077,0.0,-0.0010000000474974,0.0,1,2025-02-06 09:44:31.599925995,2025-02-06 09:44:49.598344995
1738835071.780549,GPS,18179042,0,3,380689800,2352,27,0.49,42.1346663,12.6307282,25.31,0.1070000082254409,0.0,0.0580000020563602,0.0,1,2025-02-06 09:44:31.780549049,2025-02-06 09:44:49.959591049
